Name,WAR,shortName,SimplePosition
Kyle Farmer,1.5,Minnesota,"3b,ss"
Isiah Kiner-Falefa,1.5,NY Yankees,"3b,ss"
Josh Harrison,1.4,Philadelphia,"2b,3b"
Cavan Biggio,1.4,Toronto,"1b,2b,rf"
Ozzie Albies,1.2,Atlanta,2b
Adam Duvall,1.0,Boston,"lf,cf,rf"
Meibrys Viloria,0.6,Cleveland,c
Carlos Carrasco,2.5,NY Mets,Starter
Noah Syndergaard,2.2,LA Dodgers,Starter
Jimmy Herget,1.6,LA Angels,Reliever
Jakob Junis,1.3,San Francisco,Starter
Dakota Hudson,1.1,St. Louis,Starter
Michael Kopech,1.1,Chi White Sox,Starter
Adrian Houser,1.0,Milwaukee,Reliever
